TimeStamp,Counter,RelativeDistance,RelativeSpeed,LeadVehicleSpeed,HostVehicleSpeed
1712345745.4405,682.0,24.857,0.45,4.5,4.05
1712345745.5181,683.0,24.345,0.47,4.5,4.03
1712345745.6182,684.0,24.059,0.49,4.5,4.01
1712345745.7183,685.0,25.495,0.52,4.5,3.98
1712345745.8185,686.0,25.148,0.55,4.5,3.95
1712345745.9185,687.0,24.804,0.56,4.5,3.94
1712345746.019,688.0,24.457,0.58,4.5,3.92
1712345746.1191,689.0,25.779,0.6,4.5,3.9
1712345746.2192,690.0,25.392,0.62,4.5,3.88
1712345746.3406,691.0,25.045,0.63,4.5,3.87
1712345746.4217,692.0,24.597,0.64,4.5,3.86
1712345746.5203,693.0,25.953,0.65,4.5,3.85
1712345746.6204,694.0,25.644,0.66,4.5,3.84
1712345746.7205,695.0,25.324,0.66,4.5,3.84
1712345746.8206,696.0,24.944,0.68,4.5,3.82
1712345746.9209,697.0,26.151,0.68,4.5,3.82
1712345747.021,698.0,25.865,0.69,4.5,3.81
1712345747.121,699.0,25.558,0.69,4.5,3.81
1712345747.2212,700.0,25.117,0.69,4.5,3.81
1712345747.3234,701.0,26.509,0.66,4.5,3.84
1712345747.424,702.0,26.044,0.65,4.5,3.85
1712345747.5235,703.0,25.69,0.64,4.5,3.86
1712345747.6234,704.0,25.28,0.62,4.5,3.88
1712345747.7235,705.0,27.541,0.61,4.5,3.89
1712345747.8315,706.0,27.045,0.6,4.5,3.9
1712345747.9237,707.0,26.805,0.58,4.5,3.92
1712345748.0229,708.0,26.455,0.56,4.5,3.94
1712345748.1232,709.0,26.037,0.55,4.5,3.95
1712345748.2233,710.0,25.69,0.54,4.5,3.96
1712345748.3232,711.0,29.711,0.51,4.5,3.99
1712345748.4235,712.0,29.298,0.49,4.5,4.01
1712345748.5234,713.0,28.941,0.47,4.5,4.03
1712345748.6236,714.0,28.572,0.45,4.5,4.05
1712345748.7237,715.0,28.18,0.43,4.5,4.07
1712345748.8238,716.0,27.813,0.39,4.5,4.11
1712345748.9239,717.0,27.377,0.36,4.5,4.14
1712345749.0464,718.0,26.872,0.32,4.5,4.18
1712345749.1464,719.0,26.503,0.28,4.5,4.22
1712345749.2249,720.0,26.148,0.24,4.5,4.26
1712345749.3251,721.0,27.465,0.2,4.5,4.3
1712345749.4252,722.0,27.031,0.16,4.5,4.34
1712345749.5254,723.0,26.6,0.13,4.5,4.37
1712345749.6255,724.0,26.177,0.1,4.5,4.4
1712345749.7257,725.0,25.785,0.07,4.5,4.43
1712345749.8258,726.0,25.358,0.03,4.5,4.47
1712345749.926,727.0,24.238,0.02,4.5,4.48
1712345750.0262,728.0,23.81,0.01,4.5,4.49
1712345750.1263,729.0,24.74,-0.0,4.5,4.5
1712345750.2265,730.0,24.268,-0.0,4.5,4.5
1712345750.3266,731.0,23.843,0.01,4.5,4.49
1712345750.4268,732.0,23.38,0.02,4.5,4.48
1712345750.527,733.0,23.958,0.04,4.5,4.46
1712345750.6271,734.0,23.5,0.05,4.5,4.45
1712345750.7276,735.0,23.055,0.08,4.5,4.42
1712345750.8276,736.0,23.583,0.13,4.5,4.37
1712345750.9277,737.0,23.19,0.17,4.5,4.33
1712345751.0278,738.0,22.888,0.22,4.5,4.28
1712345751.128,739.0,23.432,0.28,4.5,4.22
1712345751.2283,740.0,22.999,0.33,4.5,4.17
1712345751.3284,741.0,22.663,0.38,4.5,4.12
