Time,VehicleType,VehicleSpeed,Grade
32.81,vehicle.nissan.micra,0.0,0.0
33.0,vehicle.nissan.micra,0.0,0.0
33.09,vehicle.nissan.micra,0.0,0.0
33.1,vehicle.nissan.micra,0.0,0.0
33.27,vehicle.nissan.micra,0.0,0.0
33.32,vehicle.nissan.micra,0.0,0.0
33.44,vehicle.nissan.micra,0.0,0.0
33.5,vehicle.nissan.micra,0.0,0.0
33.63,vehicle.nissan.micra,0.0,0.0
33.7,vehicle.nissan.micra,0.0,0.0
33.84,vehicle.nissan.micra,0.0,0.0
33.9,vehicle.nissan.micra,0.0,0.0
34.08,vehicle.nissan.micra,0.0,0.0
34.17,vehicle.nissan.micra,0.0,0.0
34.22,vehicle.nissan.micra,0.0,0.0
34.36,vehicle.nissan.micra,0.0,0.0
34.47,vehicle.nissan.micra,0.0,0.0
34.54,vehicle.nissan.micra,0.0,0.0
34.6,vehicle.nissan.micra,0.0,0.0
34.73,vehicle.nissan.micra,0.0,0.0
34.8,vehicle.nissan.micra,0.0,0.0
34.97,vehicle.nissan.micra,0.0,0.0
35.0,vehicle.nissan.micra,0.0,0.0
35.15,vehicle.nissan.micra,0.0,0.0
35.2,vehicle.nissan.micra,0.0,0.0
35.3,vehicle.nissan.micra,0.0,0.0
35.45,vehicle.nissan.micra,0.0,0.0
35.56,vehicle.nissan.micra,0.0,0.0
35.6,vehicle.nissan.micra,0.0,0.0
35.78,vehicle.nissan.micra,0.0,0.0
35.84,vehicle.nissan.micra,0.0,0.0
35.9,vehicle.nissan.micra,0.0,0.0
36.05,vehicle.nissan.micra,0.0,0.0
36.19,vehicle.nissan.micra,0.0,0.0
36.2,vehicle.nissan.micra,0.0,0.0
36.31,vehicle.nissan.micra,0.0,0.0
36.4,vehicle.nissan.micra,0.0,0.0
36.58,vehicle.nissan.micra,0.0,0.0
36.6,vehicle.nissan.micra,0.0,0.0
36.72,vehicle.nissan.micra,0.0,0.0
36.87,vehicle.nissan.micra,0.0,0.0
36.99,vehicle.nissan.micra,0.0,0.0
37.05,vehicle.nissan.micra,0.0,0.0
37.14,vehicle.nissan.micra,0.0,0.0
37.24,vehicle.nissan.micra,0.0,0.0
37.35,vehicle.nissan.micra,0.0,0.0
37.4,vehicle.nissan.micra,0.0,0.0
37.58,vehicle.nissan.micra,0.0,0.0
37.6,vehicle.nissan.micra,0.0,0.0
37.7,vehicle.nissan.micra,0.0,0.0
37.8,vehicle.nissan.micra,0.0,0.0
38.0,vehicle.nissan.micra,0.0,0.0
38.04,vehicle.nissan.micra,0.0,0.0
38.19,vehicle.nissan.micra,0.0,0.0
38.25,vehicle.nissan.micra,0.0,0.0
38.39,vehicle.nissan.micra,0.0,0.0
38.45,vehicle.nissan.micra,0.0,0.0
38.55,vehicle.nissan.micra,0.0,0.0
38.66,vehicle.nissan.micra,0.0,0.0
38.7,vehicle.nissan.micra,0.0,0.0
38.89,vehicle.nissan.micra,0.0,0.0
38.95,vehicle.nissan.micra,0.0,0.0
39.0,vehicle.nissan.micra,0.0,0.0
39.15,vehicle.nissan.micra,0.0,0.0
39.28,vehicle.nissan.micra,0.0,0.0
39.3,vehicle.nissan.micra,0.0,0.0
39.45,vehicle.nissan.micra,0.0,0.0
39.54,vehicle.nissan.micra,0.0,0.0
39.64,vehicle.nissan.micra,0.0,0.0
39.74,vehicle.nissan.micra,0.0,0.0
39.84,vehicle.nissan.micra,0.0,0.0
39.94,vehicle.nissan.micra,0.0,0.0
40.01,vehicle.nissan.micra,0.0,0.0
40.1,vehicle.nissan.micra,0.0,0.0
40.25,vehicle.nissan.micra,0.0,0.0
40.3,vehicle.nissan.micra,0.0,0.0
40.45,vehicle.nissan.micra,0.0,0.0
40.53,vehicle.nissan.micra,0.0,0.0
40.6,vehicle.nissan.micra,0.0,0.0
40.76,vehicle.nissan.micra,0.0,0.0
40.8,vehicle.nissan.micra,0.0,0.0
40.94,vehicle.nissan.micra,0.0,0.0
41.06,vehicle.nissan.micra,0.0,0.0
41.1,vehicle.nissan.micra,0.0,0.0
41.25,vehicle.nissan.micra,0.0,0.0
41.3,vehicle.nissan.micra,0.0,0.0
41.46,vehicle.nissan.micra,0.0,0.0
41.5,vehicle.nissan.micra,0.0,0.0
41.69,vehicle.nissan.micra,0.0,0.0
41.79,vehicle.nissan.micra,0.0,0.0
41.84,vehicle.nissan.micra,0.0,0.0
41.93,vehicle.nissan.micra,0.0,0.0
42.13,vehicle.nissan.micra,0.0,0.0
42.18,vehicle.nissan.micra,0.0,0.0
42.25,vehicle.nissan.micra,0.0,0.0
42.3,vehicle.nissan.micra,0.0,0.0
42.5,vehicle.nissan.micra,0.0,0.0
42.54,vehicle.nissan.micra,0.0,0.0
42.7,vehicle.nissan.micra,0.0,0.0
42.74,vehicle.nissan.micra,0.0,0.0
42.85,vehicle.nissan.micra,0.0,0.0
42.98,vehicle.nissan.micra,0.0,0.0
43.0,vehicle.nissan.micra,0.0,0.0
43.14,vehicle.nissan.micra,0.0,0.0
43.24,vehicle.nissan.micra,0.0,0.0
43.3,vehicle.nissan.micra,0.0,0.0
43.4,vehicle.nissan.micra,0.0,0.0
43.57,vehicle.nissan.micra,0.0,0.0
43.6,vehicle.nissan.micra,0.0,0.0
43.75,vehicle.nissan.micra,0.0,0.0
43.87,vehicle.nissan.micra,0.0,0.0
43.95,vehicle.nissan.micra,0.0,0.0
44.06,vehicle.nissan.micra,0.0,0.0
44.12,vehicle.nissan.micra,0.0,0.0
44.32,vehicle.nissan.micra,0.0,0.0
44.32,vehicle.nissan.micra,0.0,0.0
44.49,vehicle.nissan.micra,0.0,0.0
44.55,vehicle.nissan.micra,0.0,0.0
44.65,vehicle.nissan.micra,0.0,0.0
44.7,vehicle.nissan.micra,0.0,0.0
44.88,vehicle.nissan.micra,0.0,0.0
44.97,vehicle.nissan.micra,0.0,0.0
45.1,vehicle.nissan.micra,0.0,0.0
45.1,vehicle.nissan.micra,0.0,0.0
45.2,vehicle.nissan.micra,0.0,0.0
