Time [s],Speed [mph],Speed [mps],Acceleration Requested [mps2],Acceleration Achieved [mps2],Calculated Acceleration [mps2],
20.5,5.194249341,2.322039802,0.25,0.219419463,0.277872057,
20.6,5.256266947,2.349764183,0.25,0.230437111,0.277244076,
20.7,5.318398649,2.37753957,0.25,0.233294431,0.277754134,
20.8,5.3437906,2.3888908,0.25,0.236111525,0.113512412,
20.9,5.417155887,2.421688054,0.25,0.230483112,0.327972854,
21,5.504666195,2.460808706,0.25,0.244292686,0.391206889,
21.1,5.5302019,2.4722242,0.25,0.239011939,0.114155052,
21.2,5.567133911,2.488734305,0.25,0.233421225,0.165101204,
21.3,5.629150901,2.516458411,0.25,0.23336521,0.277241323,
21.4,5.691283219,2.544234073,0.25,0.235213942,0.277756888,
21.5,5.75330145,2.571958734,0.25,0.236126537,0.277246873,
21.6,5.815469393,2.599750322,0.25,0.236077666,0.277916146,
21.7,5.8408874,2.6111132,0.25,0.236111525,0.113628891,
21.8,5.877569508,2.627511588,0.25,0.236075101,0.163984033,
21.9,5.939588982,2.655236804,0.25,0.236069844,0.277252428,
22,6.001755556,2.68302778,0.25,0.236085876,0.277910029,
22.1,6.064167789,2.710928576,0.25,0.236171242,0.279008221,
22.2,6.126221971,2.738669308,0.25,0.236140291,0.277407587,
22.3,6.188379484,2.766456233,0.25,0.24433855,0.277869517,
22.4,6.21371,2.77778,0.25,0.241763919,0.113237774,
22.5,6.250428557,2.794194682,0.25,0.236077665,0.164146977,
22.6,6.312436565,2.821914772,0.25,0.23607552,0.277201167,
22.7,6.37457774,2.849694394,0.25,0.236077637,0.277796482,
22.8,6.437027027,2.877611754,0.25,0.24436071,0.279173869,
22.9,6.4622584,2.8888912,0.25,0.233601796,0.112794564,
23,6.535944717,2.921831967,0.25,0.230511851,0.329407989,
23.1,6.5865326,2.9444468,0.25,0.236111525,0.226148541,
23.2,6.62331319,2.960889213,0.25,0.236077679,0.164424288,
23.3,6.68535689,2.98862526,0.25,0.23608365,0.277360729,
23.4,6.747524821,3.016416842,0.25,0.23609161,0.277916094,
23.5,6.809569206,3.044153195,0.25,0.236097456,0.277363788,
23.6,6.871736453,3.071944472,0.25,0.2360973,0.277913035,
23.7,6.8972181,3.0833358,0.25,0.236111525,0.11391339,
23.8,6.934028528,3.099791552,0.25,0.236140207,0.164557679,
23.9,6.996160832,3.127567208,0.25,0.236165427,0.277756821,
24,7.058215582,3.155308194,0.25,0.236140432,0.277410128,
24.1,7.120372526,3.183094865,0.25,0.23608337,0.277866976,
24.2,7.182427836,3.210836102,0.25,0.236083622,0.27741263,
24.3,7.24458422,3.238622523,0.25,0.23608337,0.277864474,
24.4,7.306603709,3.266347746,0.25,0.244284106,0.277252494,
24.5,7.3321778,3.2777804,0.25,0.24179309,0.114326652,
24.6,7.369045402,3.294261711,0.25,0.236173695,0.164813267,
24.7,7.431099597,3.322002449,0.25,0.236154253,0.277407647,
24.8,7.493294086,3.349805905,0.25,0.2360973,0.278034818,
24.9,7.555337114,3.37754165,0.25,0.244325458,0.277357723,
25,7.617431937,3.405300551,0.25,0.241734522,0.277589271,
25.1,7.679462277,3.433030625,0.25,0.244292145,0.277301004,
25.2,7.7050004,3.4444472,0.25,0.241779224,0.114165859,
25.3,7.741929972,3.460956214,0.25,0.236165703,0.165090299,
25.4,7.803946986,3.488680331,0.25,0.236131969,0.277241431,
25.5,7.866116269,3.516472518,0.25,0.236159887,0.277922138,
25.6,7.928195866,3.544224612,0.25,0.236140295,0.277521203,
25.7,7.990316445,3.571995026,0.25,0.244329846,0.277704409,
25.8,8.0156859,3.5833362,0.25,0.241772554,0.113411844,
25.9,8.052037094,3.599586656,0.25,0.236009949,0.162504712,
26,8.114190676,3.627371824,0.25,0.23603204,0.277851946,
26.1,8.176614064,3.655277606,0.25,0.236091596,0.279058091,
26.2,8.232595807,3.680303713,0.25,0.234734029,0.250261302,
26.3,8.288335826,3.705221758,0.25,0.23329984,0.249180694,
26.4,8.356850252,3.735850481,0.25,0.234751592,0.30628752,
26.5,8.425230308,3.766419135,0.25,0.244319601,0.305686833,
26.6,8.4506456,3.7777808,0.25,0.241759775,0.113616757,
26.7,8.511305827,3.804898378,0.25,0.241448195,0.271176036,
26.8,8.5749198,3.8333364,0.25,0.241765478,0.284380493,
26.9,8.61181138,3.84982843,0.25,0.236143615,0.164920461,
27,8.673840241,3.877557843,0.25,0.236128871,0.27729439,
27.1,8.736034716,3.905361292,0.25,0.236165559,0.278034757,
27.2,8.7613311,3.9166698,0.25,0.236111525,0.113085186,
27.3,8.798134709,3.933122504,0.25,0.23608337,0.164527192,
27.4,8.860152975,3.96084718,0.25,0.23608365,0.277247029,
27.5,8.922284017,3.988622272,0.25,0.236075102,0.277751182,
27.6,8.984339903,4.016363766,0.25,0.236069802,0.277415208,
27.7,9.040398116,4.041424057,0.25,0.234714739,0.250603151,
27.8,9.102572374,4.069218469,0.25,0.242941366,0.277944379,
27.9,9.17093651,4.099780006,0.25,0.250096914,0.305615663,
28,9.22699095,4.12483861,0.25,0.248733631,0.250586286,
28.1,9.282858211,4.149813538,0.25,0.247268202,0.249749516,
28.2,9.320565,4.16667,0.25,0.243183376,0.168564779,
28.3,9.344920154,4.17755774,0.25,0.236168216,0.108877507,
28.4,9.406965338,4.20529445,0.25,0.234722208,0.277367363,
28.5,9.469229484,4.233129045,0.25,0.233355177,0.278346212,
28.6,9.531183535,4.260825014,0.25,0.241522337,0.276959959,
28.7,9.593213497,4.288554919,0.25,0.241828501,0.277299314,
28.8,9.655638274,4.316461322,0.25,0.241562692,0.279064298,
28.9,9.717804229,4.344252022,0.25,0.247212031,0.277907258,
29,9.779849968,4.37198898,0.25,0.247215804,0.277369846,
29.1,9.8176618,4.3888924,0.25,0.241765784,0.169034362,
29.2,9.841886498,4.399721821,0.25,0.241526241,0.108294312,
29.3,9.904067489,4.427519242,0.25,0.247198605,0.277974477,
29.4,9.96607387,4.455238605,0.25,0.247195948,0.277193898,
29.5,10.02848497,4.483138893,0.25,0.247258547,0.279003144,
29.6,10.09066391,4.510935399,0.25,0.247286053,0.277965328,
29.7,10.1526966,4.538666523,0.25,0.24862147,0.277311496,
29.8,10.1904844,4.5555592,0.25,0.243170598,0.168926936,
29.9,10.21479556,4.566427275,0.25,0.233323857,0.10868085,
30,10.27698899,4.594230254,0.25,0.234696045,0.278030056,
30.1,10.33895844,4.621933109,0.25,0.23606001,0.277028813,
30.2,10.40112608,4.64972456,0.25,0.24152751,0.277914782,
30.3,10.46290647,4.677342897,0.25,0.249892817,0.276183632,
30.4,10.5251595,4.705172523,0.25,0.249939275,0.278296521,
30.5,10.58780889,4.733179338,0.25,0.250025385,0.280068425,
30.6,10.6254441,4.7500038,0.25,0.244589626,0.168244776,
30.7,10.63749408,4.755390627,0.25,0.233418076,0.05386832,
30.8,10.69941619,4.783072318,0.25,0.23330572,0.276817172,
30.9,10.7616445,4.810890895,0.25,0.233319659,0.278186038,
31,10.82357738,4.838577398,0.25,0.233294431,0.276865292,
31.1,10.88585676,4.866418803,0.25,0.238763429,0.278414315,
31.2,10.9361296,4.8888928,0.25,0.244585723,0.224740188,
31.3,10.95984655,4.899495238,0.25,0.235988223,0.106024485,
31.4,11.0604038,4.9444484,0.25,0.244605131,0.449532045,
31.5,11.08399562,4.954994897,0.25,0.235928227,0.105465071,
31.6,11.184678,5.000004,0.25,0.244534533,0.450091459,
31.7,11.19641134,5.005249278,0.25,0.2332916,0.052452829,
31.8,11.25872892,5.033107758,0.25,0.238774507,0.278585069,
31.9,11.32062297,5.060776907,0.25,0.247175052,0.276691754,
32,11.38306023,5.088688889,0.25,0.247229554,0.279120085,
32.1,11.4332264,5.1111152,0.25,0.244591279,0.224263322,
32.2,11.4332264,5.1111152,0.25,0.23069554,0,
32.3,11.55636152,5.166161586,0.25,0.244409577,0.550464384,
32.4,11.61931822,5.194305779,0.25,0.244566862,0.281442204,
32.5,11.68114898,5.221946634,0.25,0.244383881,0.27640881,
32.6,11.6817748,5.2222264,0.25,0.236111525,0.002797663,
32.7,11.74316231,5.249669102,0.25,0.247139473,0.274427283,
32.8,11.80548031,5.277527771,0.25,0.247227962,0.278586953,
32.9,11.86737375,5.305196648,0.25,0.247153112,0.27668904,
33,11.92975382,5.333083062,0.25,0.247253068,0.278864405,
33.1,11.9303232,5.3333376,0.25,0.233459621,0.002545379,
33.2,12.05334618,5.388333856,0.25,0.249720766,0.54996308,
33.3,12.11555645,5.416144363,0.25,0.258324809,0.278105338,
33.4,12.17798916,5.444054313,0.25,0.249803195,0.27909977,
33.5,12.1788716,5.4444488,0.25,0.244727185,0.003944872,
33.6,12.30250541,5.49971812,0.25,0.249857299,0.552693732,
33.7,12.3031458,5.5000044,0.25,0.247377797,0.002862798,
33.8,12.36489982,5.527610946,0.25,0.24725183,0.276065721,
33.9,12.42673153,5.555252225,0.25,0.247237895,0.27641306,
34,12.48911189,5.583138775,0.25,0.247225179,0.278865763,
34.1,12.55088276,5.610752854,0.25,0.249819065,0.276141056,
34.2,12.5516942,5.6111156,0.25,0.250000438,0.003627459,
34.3,12.5516942,5.6111156,0.25,0.222477219,0,
34.4,12.67482567,5.666160354,0.25,0.235927512,0.550448067,
34.5,12.6759684,5.6666712,0.25,0.222362495,0.005108463,
34.6,12.79898849,5.721666161,0.25,0.249720119,0.549950134,
34.7,12.8002426,5.7222268,0.25,0.236279074,0.005606396,
34.8,12.9228931,5.77705654,0.25,0.249764623,0.548297924,
34.9,12.9245168,5.7777824,0.25,0.236293101,0.007258606,
35,12.98584112,5.805196856,0.25,0.236057122,0.274144824,
35.1,13.04822037,5.833082904,0.25,0.24987289,0.278860742,
35.2,13.17242291,5.888606469,0.25,0.250136545,0.555236184,
