"rowID","Metadata,MulticastAddress","Metadata,StateVersion","Metadata,IsTerminated","Metadata,TimeOfCommit","Metadata,TimeOfReceipt","Metadata,Enum,Middleware::EventType","tspi.time.nanosecondsSince1970,Int64","Enum,TENA::RTcode,tspi.position.geodetic_asTransmitted.srf.rtCode (optional)","tspi.position.geodetic_asTransmitted.latitudeInDegrees,Float64 (optional)","tspi.position.geodetic_asTransmitted.longitudeInDegrees,Float64 (optional)","tspi.position.geodetic_asTransmitted.heightAboveEllipsoidInMeters,Float64 (optional)","Enum,VUG::Entities::Signals::TrafficLightState,currentState","const^Metadata,SDOid.hostIPaddress","const^Metadata,SDOid.processID","const^Metadata,SDOid.processCreateTimeSec","const^Metadata,SDOid.counter","const^Metadata,Enum,Middleware::CommunicationProperties","const^Metadata,ApplicationId","const^Metadata,Endpoint","const^Metadata,PublisherSessionId","const^Metadata,ReactivationCount","const^Metadata,TimeOfCreation","const^Metadata,TimeOfDiscovery","const^identifier,String","const^sourceIdentifier,String","const^Enum,VUG::LVCindicator,lvcIndicator","const^type,String","const^signalID,String"
43,"N/A",31,0,1700253392493726000,1700253392718789000,"StateChange",1700253389495126000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Green","10.40.36.12",947,1700253386,16,"Reliable",17,"10.40.36.12:40159",0,0,1700253389495173000,1700253392542785000,"9949","9949","VUG::LVCindicator_Live","Traffic Signal","9949"
44,"N/A",31,0,1700253392493849000,1700253392718896000,"StateChange",1700253389496143000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.40.36.12",947,1700253386,18,"Reliable",17,"10.40.36.12:40159",0,0,1700253389496196000,1700253392543224000,"9950","9950","VUG::LVCindicator_Live","Traffic Signal","9950"
45,"N/A",32,0,1700253392590910000,1700253392718920000,"StateChange",1700253389490497000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Green","10.40.36.12",947,1700253386,10,"Reliable",17,"10.40.36.12:40159",0,0,1700253389491874000,1700253392204693000,"9951","9951","VUG::LVCindicator_Live","Traffic Signal","9951"
46,"N/A",32,0,1700253392590986000,1700253392718976000,"StateChange",1700253389494071000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.40.36.12",947,1700253386,14,"Reliable",17,"10.40.36.12:40159",0,0,1700253389494148000,1700253392542008000,"9952","9952","VUG::LVCindicator_Live","Traffic Signal","9952"
47,"N/A",32,0,1700253392591031000,1700253392719013000,"StateChange",1700253389495126000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Green","10.40.36.12",947,1700253386,16,"Reliable",17,"10.40.36.12:40159",0,0,1700253389495173000,1700253392542785000,"9949","9949","VUG::LVCindicator_Live","Traffic Signal","9949"
48,"N/A",32,0,1700253392591067000,1700253392719034000,"StateChange",1700253389496143000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.40.36.12",947,1700253386,18,"Reliable",17,"10.40.36.12:40159",0,0,1700253389496196000,1700253392543224000,"9950","9950","VUG::LVCindicator_Live","Traffic Signal","9950"
49,"N/A",33,0,1700253392699063000,1700253392743093000,"StateChange",1700253389490497000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Green","10.40.36.12",947,1700253386,10,"Reliable",17,"10.40.36.12:40159",0,0,1700253389491874000,1700253392204693000,"9951","9951","VUG::LVCindicator_Live","Traffic Signal","9951"
50,"N/A",33,0,1700253392699154000,1700253392747585000,"StateChange",1700253389494071000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.40.36.12",947,1700253386,14,"Reliable",17,"10.40.36.12:40159",0,0,1700253389494148000,1700253392542008000,"9952","9952","VUG::LVCindicator_Live","Traffic Signal","9952"
51,"N/A",33,0,1700253392699216000,1700253392750933000,"StateChange",1700253389495126000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Green","10.40.36.12",947,1700253386,16,"Reliable",17,"10.40.36.12:40159",0,0,1700253389495173000,1700253392542785000,"9949","9949","VUG::LVCindicator_Live","Traffic Signal","9949"
52,"N/A",33,0,1700253392699265000,1700253392751051000,"StateChange",1700253389496143000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.40.36.12",947,1700253386,18,"Reliable",17,"10.40.36.12:40159",0,0,1700253389496196000,1700253392543224000,"9950","9950","VUG::LVCindicator_Live","Traffic Signal","9950"
