Time [s],Speed [mph],Speed [mps],Acceleration Command [m/s²],Calculated Acceleration [m/s²]
34.0612,7.0836294,3.1666692000000003,0.25,0.33331937073690293
34.1614,7.2700407,3.2500026,0.25,0.3702455479824103
34.2611,7.2079036,3.2222248000000002,0.25,0.3146342252141054
34.3612,7.2700407,3.2500026,0.25,0.2775004995005057
34.4612,7.3321778,3.2777804000000006,0.25,0.27777800000000014
34.5623,7.3943149,3.3055582000000006,0.25,0.27475568743817314
34.6613,7.4564520000000005,3.333336,0.25,0.28058383838384304
34.7612,7.5185891,3.3611138,0.25,0.2780560560560412
34.8616,7.5807262,3.3888916,0.25,0.2766713147410341
34.9612,7.7050004,3.4444472000000004,0.25,0.31473160974234254
35.0613,7.7050004,3.4444472000000004,0.25,0.29623157644230974
35.1612,7.7671375000000005,3.4722250000000003,0.25,0.278056056056061
35.2611,7.7671375000000005,3.4722250000000003,0.25,0.2776573576008882
35.3611,7.8292746,3.5000028000000003,0.25,0.2777779999999957
35.4617,7.8914117,3.5277806000000003,0.25,0.27612127236580475
35.5613,7.9535488,3.5555584000000007,0.25,0.27889357429718625
35.6612,8.015685900000001,3.5833362000000006,0.25,0.278056056056061
35.7611,8.077823,3.611114,0.25,0.27805605605605654
35.8614,8.077823,3.611114,0.25,0.24083953733631097
35.9623,8.1399601,3.6388918,0.25,0.27530029732409445
36.0613,8.202097199999999,3.6666696,0.25,0.2805838383838274
36.1611,8.2642343,3.6944474000000005,0.25,0.278334669338696
36.2613,8.326371400000001,3.7222252000000005,0.25,0.2772235528942086
36.3613,8.3885085,3.7500030000000004,0.25,0.2777779999999957
36.4623,8.3885085,3.7500030000000004,0.25,0.2037454248514658
36.5612,8.4506456,3.7777808000000004,0.25,0.22246992771631235
36.6611,8.512782699999999,3.8055586000000003,0.25,0.22246992771631235
36.7611,8.5749198,3.8333364000000008,0.25,0.2409884610496457
36.8623,8.5749198,3.8333364000000008,0.25,0.22246992771631263
36.9613,8.699194,3.8888920000000002,0.25,0.2414730213431024
37.062,8.699194,3.8888920000000002,0.25,0.2228801163899566
37.1622,8.8856053,3.9722254000000006,0.25,0.25978775656506126
37.2612,8.823468199999999,3.9444476,0.25,0.22254509693573532
37.3612,8.8856053,3.9722254000000006,0.25,0.24106363026907
37.4611,8.947742400000001,4.0000032,0.25,0.2780560560560367
37.5612,8.947742400000001,4.0000032,0.25,0.22254175829227762
37.6611,9.0098795,4.027781,0.25,0.22252318407343533
37.7611,9.1962908,4.111114400000001,0.25,0.2595972138804878
37.8612,9.134153699999999,4.0833366,0.25,0.22257864724712043
37.9611,9.320565,4.166670000000001,0.25,0.2781898584583293
38.0612,9.258427900000001,4.138892200000001,0.25,0.240965322293449
38.1615,9.320565,4.166670000000001,0.25,0.2769471585244342
38.2611,9.3827021,4.1944478,0.25,0.2788935742971729
38.3611,9.5069763,4.250003400000001,0.25,0.2780028340778188
38.4612,9.5069763,4.250003400000001,0.25,0.2405916556266421
38.5612,9.5069763,4.250003400000001,0.25,0.2405916556266421
38.6613,9.5691134,4.277781200000001,0.25,0.2775004995005057
38.7613,9.6312505,4.305559000000001,0.25,0.2777779999999957
38.8611,9.6933876,4.3333368000000005,0.25,0.27833466933867174
38.9612,9.8176618,4.3888924000000005,0.25,0.2593712083923307
39.0612,9.8176618,4.3888924000000005,0.25,0.2593712083923307
39.1614,9.8176618,4.3888924000000005,0.25,0.24083413798859332
39.2611,9.941936,4.444448,0.25,0.22242705019187056
39.3612,9.941936,4.444448,0.25,0.2409270834919049
39.4612,10.004073100000001,4.4722258,0.25,0.2777779999999957
39.5611,10.0662102,4.5000036,0.25,0.2780560560560412
39.6611,10.1283473,4.5277814,0.25,0.2777780000000154
39.7614,10.190484399999999,4.5555592,0.25,0.27694715852441454
39.8611,10.190484399999999,4.5555592,0.25,0.20376007103132043
39.9611,10.2526215,4.583337,0.25,0.2222786043646535
40.0611,10.3768957,4.6388926,0.25,0.2593156710313196
40.1611,10.3768957,4.6388926,0.25,0.24081563773128586
40.2611,10.4390328,4.666670400000001,0.25,0.2777780000000046
40.3612,10.501169899999999,4.6944482,0.25,0.2775004995004968
40.4611,10.563307,4.722226,0.25,0.2780560560560412
40.5614,10.563307,4.722226,0.25,0.22229703021241007
40.6611,10.6875812,4.7777816,0.25,0.25944554241568707
40.7615,10.811855399999999,4.8333372,0.25,0.259186538844548
