Time [s],Speed [mph],Speed [mphs,Acceleration Command [m/s²],Calculated Acceleration [m/s²]
433.1612,0.0,0.0,-1.5,-1.499999999999999
433.2612,0.0,0.0,-1.5,-1.499999999999999
433.3612,0.0,0.0,-1.5,-1.499999999999999
433.4612,0.0,0.0,-1.5,-1.499999999999999
433.5612,0.0,0.0,-1.5,-1.499999999999999
433.6612,0.0,0.0,-1.5,-1.499999999999999
433.7613,0.0,0.0,-1.5,-1.499999999999999
433.8612,0.0,0.0,-1.5,-1.499999999999999
433.9613,0.0,0.0,-1.5,-1.499999999999999
434.0612,0.0,0.0,-1.5,-1.499999999999999
434.1612,0.0,0.0,-1.5,-1.499999999999999
434.2612,0.0,0.0,-1.5,-1.499999999999999
434.3612,0.0,0.0,-1.5,-1.499999999999999
434.4612,0.0,0.0,-1.5,-1.499999999999999
434.5613,0.0,0.0,-1.5,-1.499999999999999
434.6612,0.0,0.0,-1.5,-1.499999999999999
434.7613,0.0,0.0,-1.5,-1.499999999999999
434.8612,0.0,0.0,-1.5,-1.499999999999999
434.9613,0.0,0.0,-1.5,-1.499999999999999
435.0611,0.0,0.0,-1.5,-1.499999999999999
435.1612,0.0,0.0,-1.5,-1.499999999999999
435.2613,0.0,0.0,-1.5,-1.499999999999999
435.3612,0.0,0.0,-1.5,-1.499999999999999
435.4612,0.0,0.0,-1.5,-1.499999999999999
435.5612,0.0,0.0,-1.5,-1.499999999999999
435.6612,0.0,0.0,-1.5,-1.499999999999999
435.7612,0.0,0.0,-1.5,-1.499999999999999
435.8612,0.0,0.0,-1.5,-1.499999999999999
435.9612,0.0,0.0,-1.5,-1.499999999999999
436.0612,0.0,0.0,-1.5,-1.499999999999999
436.1612,0.0,0.0,-1.5,-1.499999999999999
436.2612,0.0,0.0,-1.5,-1.499999999999999
436.3612,0.0,0.0,-1.5,-1.499999999999999
436.4612,0.0,0.0,-1.5,-1.499999999999999
436.5612,0.0,0.0,-1.5,-1.499999999999999
436.6612,0.0,0.0,-1.5,-1.499999999999999
436.7612,0.0,0.0,-1.5,-1.499999999999999
436.8612,0.0,0.0,-1.5,-1.499999999999999
436.9613,0.0,0.0,-1.5,-1.499999999999999
437.0612,0.0,0.0,-1.5,-1.499999999999999
437.1612,0.0,0.0,-1.5,-1.499999999999999
437.2612,0.0,0.0,-1.5,-1.499999999999999
437.3612,0.0,0.0,-1.5,-1.499999999999999
437.4612,0.0,0.0,-1.5,-1.499999999999999
437.5612,0.0,0.0,-1.5,-1.499999999999999
437.6612,0.0,0.0,-1.5,-1.499999999999999
437.7612,0.0,0.0,-1.5,-1.499999999999999
437.8612,0.0,0.0,-1.5,-1.499999999999999
437.9614,0.0,0.0,-1.5,-1.499999999999999
438.0612,0.0,0.0,-1.5,-1.499999999999999
438.1614,0.0,0.0,-1.5,-1.499999999999999
438.2612,0.0,0.0,-1.5,-1.499999999999999
438.3612,0.0,0.0,-1.5,-1.499999999999999
438.4612,0.0,0.0,-1.5,-1.499999999999999
438.5613,0.0,0.0,-1.5,-1.499999999999999
438.6612,0.0,0.0,-1.5,-1.499999999999999
438.7612,0.0,0.0,-1.5,-1.499999999999999
438.8611,0.0,0.0,-1.5,-1.499999999999999
438.9612,0.0,0.0,-1.5,-1.499999999999999
439.0612,0.0,0.0,-1.5,-1.499999999999999
439.1612,0.0,0.0,-1.5,-1.499999999999999
439.2612,0.0,0.0,-1.5,-1.499999999999999
439.3612,0.0,0.0,-1.5,-1.499999999999999
439.4612,0.0,0.0,-1.5,-1.4416666666666655
439.5612,0.0,0.0,-1.5,-1.3833333333333322
439.6612,0.0,0.0,-1.5,-1.3249999999999988
439.7612,0.0,0.0,-1.5,-1.2666666666666655
439.8612,0.0,0.0,-1.5,-1.2083333333333321
439.9612,0.0,0.0,-1.5,-1.1499999999999988
440.0612,0.0,0.0,-1.5,-1.0916666666666655
440.1612,0.0,0.0,-1.5,-1.033333333333332
440.2612,0.0,0.0,-1.5,-0.9749999999999989
440.3612,0.0,0.0,-1.5,-0.9166666666666657
440.4613,0.0,0.0,-1.5,-0.8583333333333326
440.5612,0.0,0.0,-1.5,-0.7999999999999995
440.6612,0.0,0.0,-1.5,-0.7416666666666663
440.7612,0.0,0.0,-1.5,-0.6833333333333331
440.8612,0.0,0.0,-1.5,-0.625
440.9612,0.0,0.0,-1.5,-0.5666666666666668
441.0612,0.0,0.0,-1.5,-0.5083333333333334
441.1612,0.0,0.0,-1.5,-0.45000000000000007
441.2612,0.0,0.0,-1.5,-0.41572217768871245
441.3612,0.0,0.0,-1.5,-0.3629443776887029
