"rowID","Metadata,MulticastAddress","Metadata,StateVersion","Metadata,IsTerminated","Metadata,TimeOfCommit","Metadata,TimeOfReceipt","Metadata,Enum,Middleware::EventType","tspi.time.nanosecondsSince1970,Int64","Enum,TENA::RTcode,tspi.position.geodetic_asTransmitted.srf.rtCode (optional)","tspi.position.geodetic_asTransmitted.latitudeInDegrees,Float64 (optional)","tspi.position.geodetic_asTransmitted.longitudeInDegrees,Float64 (optional)","tspi.position.geodetic_asTransmitted.heightAboveEllipsoidInMeters,Float64 (optional)","Enum,VUG::Entities::Signals::TrafficLightState,currentState","const^Metadata,SDOid.hostIPaddress","const^Metadata,SDOid.processID","const^Metadata,SDOid.processCreateTimeSec","const^Metadata,SDOid.counter","const^Metadata,Enum,Middleware::CommunicationProperties","const^Metadata,ApplicationId","const^Metadata,Endpoint","const^Metadata,PublisherSessionId","const^Metadata,ReactivationCount","const^Metadata,TimeOfCreation","const^Metadata,TimeOfDiscovery","const^identifier,String","const^sourceIdentifier,String","const^Enum,VUG::LVCindicator,lvcIndicator","const^type,String","const^signalID,String"
46,"N/A",434,0,1712338077066842000,1712338077128821000,"StateChange",1712338033758489000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Green","10.91.0.3",778,1712337870,10,"Reliable",92,"10.91.0.3:36949",0,0,1712338033758638000,1712338075657387000,"663","663","VUG::LVCindicator_Live","Traffic Signal","663"
47,"N/A",434,0,1712338077067023000,1712338077128963000,"StateChange",1712338033759159000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,14,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759188000,1712338075658020000,"658","658","VUG::LVCindicator_Live","Traffic Signal","658"
48,"N/A",434,0,1712338077067116000,1712338077142266000,"StateChange",1712338033759270000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Green","10.91.0.3",778,1712337870,16,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759294000,1712338075659572000,"656","656","VUG::LVCindicator_Live","Traffic Signal","656"
49,"N/A",435,0,1712338077166547000,1712338077249895000,"StateChange",1712338033758489000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Green","10.91.0.3",778,1712337870,10,"Reliable",92,"10.91.0.3:36949",0,0,1712338033758638000,1712338075657387000,"663","663","VUG::LVCindicator_Live","Traffic Signal","663"
50,"N/A",435,0,1712338077166645000,1712338077249983000,"StateChange",1712338033759159000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,14,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759188000,1712338075658020000,"658","658","VUG::LVCindicator_Live","Traffic Signal","658"
51,"N/A",435,0,1712338077166690000,1712338077254872000,"StateChange",1712338033759270000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Green","10.91.0.3",778,1712337870,16,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759294000,1712338075659572000,"656","656","VUG::LVCindicator_Live","Traffic Signal","656"
52,"N/A",436,0,1712338077266469000,1712338077329075000,"StateChange",1712338033758489000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Green","10.91.0.3",778,1712337870,10,"Reliable",92,"10.91.0.3:36949",0,0,1712338033758638000,1712338075657387000,"663","663","VUG::LVCindicator_Live","Traffic Signal","663"
53,"N/A",436,0,1712338077266570000,1712338077329167000,"StateChange",1712338033759159000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Red","10.91.0.3",778,1712337870,14,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759188000,1712338075658020000,"658","658","VUG::LVCindicator_Live","Traffic Signal","658"
54,"N/A",436,0,1712338077266620000,1712338077341202000,"StateChange",1712338033759270000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Green","10.91.0.3",778,1712337870,16,"Reliable",92,"10.91.0.3:36949",0,0,1712338033759294000,1712338075659572000,"656","656","VUG::LVCindicator_Live","Traffic Signal","656"
55,"N/A",437,0,1712338077366567000,1712338077429645000,"StateChange",1712338033758489000,"TENA::RTCODE_WGS_1984_IDENTITY",38.9519791115058,-77.1483512834999,100.0,"VUG::Entities::Signals::TrafficLightState_Green","10.91.0.3",778,1712337870,10,"Reliable",92,"10.91.0.3:36949",0,0,1712338033758638000,1712338075657387000,"663","663","VUG::LVCindicator_Live","Traffic Signal","663"
