timestamp_posix,msgCount,temporaryId,latitude,longitude,elevation,speed,heading,length,width
1696358355.1784556,86,ca62cd16,42.3014226,-83.6989828,239.0,125.0,40.900000000000006,314,159
1696358355.18639,87,ca62cd16,42.3014305,-83.698972,239.0,125.0,43.1,314,159
1696358355.1960316,88,ca62cd16,42.3014383,-83.698961,239.0,125.0,45.2,314,159
1696358355.203431,89,ca62cd16,42.3014456,-83.6989494,239.0,125.0,47.400000000000006,314,159
1696358355.205827,90,ca62cd16,42.3014526,-83.6989373,239.0,125.0,49.6,314,159
1696358355.2120733,91,ca62cd16,42.3014592,-83.6989251,239.0,125.0,51.800000000000004,314,159
1696358355.2216177,92,ca62cd16,42.3014649,-83.6989136,239.0,125.0,54.0,314,159
1696358355.2285821,93,ca62cd16,42.3014707,-83.6989007,239.0,125.0,56.2,314,159
1696358355.2305326,94,ca62cd16,42.3014764,-83.6988874,239.0,125.0,58.400000000000006,314,159
1696358355.2406592,95,ca62cd16,42.3014837,-83.6988757,239.0,125.0,52.7,314,159
1696358355.2430482,96,ca62cd16,42.3014886,-83.6988619,239.0,125.0,59.1,314,159
1696358355.2452755,97,ca62cd16,42.3014923,-83.6988473,239.0,125.0,65.60000000000001,314,159
1696358355.2529168,98,ca62cd16,42.3014948,-83.6988323,239.0,125.0,72.0,314,159
1696358355.2551112,99,ca62cd16,42.301496,-83.698817,239.0,125.0,78.4,314,159
1696358355.2572665,100,ca62cd16,42.301496,-83.6988016,239.0,125.0,84.80000000000001,314,159
1696358355.2747188,101,ca62cd16,42.3014959,-83.6987864,239.0,125.0,89.9,314,159
1696358355.2771926,102,ca62cd16,42.3014885,-83.6987728,239.0,125.0,110.80000000000001,314,159
1696358355.2820241,103,ca62cd16,42.3014743,-83.6987714,239.0,125.0,148.70000000000002,314,159
1696358355.2879462,104,ca62cd16,42.3014623,-83.6987707,239.0,125.0,165.8,314,159
1696358355.2906375,105,ca62cd16,42.3014507,-83.6987748,239.0,125.0,182.8,314,159
1696358355.2964504,106,ca62cd16,42.3014413,-83.6987629,239.0,125.0,157.3,314,159
1696358355.3018734,107,ca62cd16,42.3014311,-83.698756,239.0,125.0,155.20000000000002,314,159
1696358355.3044014,108,ca62cd16,42.3014212,-83.6987487,239.0,125.0,153.1,314,159
1696358355.3091743,109,ca62cd16,42.301415,-83.6987344,239.0,125.0,135.20000000000002,314,159
1696358355.3124304,110,ca62cd16,42.3014079,-83.6987227,239.0,125.0,132.20000000000002,314,159
1696358355.317399,111,ca62cd16,42.3014011,-83.6987106,239.0,125.0,129.20000000000002,314,159
1696358355.323678,112,ca62cd16,42.3013947,-83.6986979,239.0,125.0,126.2,314,159
1696358355.3268707,113,ca62cd16,42.3013896,-83.6986861,239.0,125.0,123.10000000000001,314,159
1696358355.3319058,114,ca62cd16,42.3013843,-83.6986726,239.0,125.0,120.10000000000001,314,159
1696358355.3393667,115,ca62cd16,42.3013744,-83.6986638,239.0,125.0,135.5,314,159
1696358355.3435307,116,ca62cd16,42.3013649,-83.6986553,239.0,125.0,142.0,314,159
1696358355.3476083,117,ca62cd16,42.3013521,-83.6986576,239.0,125.0,169.5,314,159
1696358355.353523,118,ca62cd16,42.3013408,-83.6986579,239.0,125.0,176.4,314,159
1696358355.3564768,119,ca62cd16,42.3013294,-83.69866,239.0,125.0,183.3,314,159
1696358355.38002,120,ca62cd16,42.3013184,-83.698664,239.0,125.0,190.20000000000002,314,159
1696358355.4021933,121,ca62cd16,42.301307,-83.6986619,239.0,125.0,179.8,314,159
1696358355.405442,122,ca62cd16,42.3012958,-83.6986619,239.0,125.0,179.8,314,159
1696358355.4187324,123,ca62cd16,42.3012845,-83.6986618,239.0,125.0,179.9,314,159
1696358355.4222202,124,ca62cd16,42.3012733,-83.6986618,239.0,125.0,179.9,314,159
1696358355.4307044,125,ca62cd16,42.3012632,-83.6986618,239.0,125.0,179.9,314,159
1696358355.4372864,126,ca62cd16,42.3012519,-83.6986618,239.0,125.0,180.0,314,159
1696358355.4469395,127,ca62cd16,42.3012407,-83.6986618,239.0,125.0,180.0,314,159
1696358355.4548666,0,ca62cd16,42.3012293,-83.6986618,239.0,125.0,180.0,314,159
1696358355.4623222,1,ca62cd16,42.3012182,-83.6986619,239.0,125.0,180.10000000000002,314,159
1696358355.4685612,2,ca62cd16,42.3012068,-83.698662,239.0,125.0,180.10000000000002,314,159
