lattitude,longitude,elevation,speed,heading
42.30034920,-83.69798380,237.00,3.11,179.30
42.30034180,-83.69798370,237.00,3.92,179.30
42.30033450,-83.69798360,237.00,4.27,179.29
42.30032710,-83.69798350,237.00,4.01,179.29
42.30031980,-83.69798330,237.00,4.09,179.29
42.30031250,-83.69798320,237.00,3.68,179.29
42.30030520,-83.69798310,237.00,4.46,179.29
42.30029800,-83.69798300,237.00,5.66,179.40
42.30029070,-83.69798300,237.00,7.02,179.54
42.30028340,-83.69798290,237.00,5.97,179.64
42.30027620,-83.69798290,237.00,6.74,179.71
42.30026900,-83.69798290,237.00,7.15,179.77
42.30026180,-83.69798290,237.00,7.58,179.82
42.30025460,-83.69798290,237.00,6.06,179.86
42.30024740,-83.69798290,237.00,4.91,179.88
42.30024020,-83.69798280,237.00,6.09,179.91
42.30023290,-83.69798280,237.00,7.91,179.92
42.30022570,-83.69798280,237.00,8.55,179.93
42.30021840,-83.69798280,237.00,9.06,179.94
42.30021110,-83.69798280,236.50,8.00,179.95
42.30020380,-83.69798280,236.50,6.72,179.96
42.30019650,-83.69798310,236.50,5.58,180.68
42.30018920,-83.69798360,236.50,7.08,181.58
42.30018190,-83.69798420,236.50,9.00,182.27
42.30017460,-83.69798480,236.00,8.00,182.80
42.30016720,-83.69798550,236.00,9.68,183.21
42.30015990,-83.69798620,236.00,8.00,183.53
42.30015250,-83.69798690,236.00,9.20,183.77
42.30014510,-83.69798760,236.00,8.56,183.96
42.30013770,-83.69798840,236.00,8.00,184.10
42.30013030,-83.69798950,236.00,9.36,185.02
42.30012300,-83.69799110,236.00,8.00,186.61
42.30011560,-83.69799280,236.00,6.64,187.84
42.30010830,-83.69799460,236.00,8.17,188.78
42.30010110,-83.69799700,236.00,6.78,190.82
42.30009380,-83.69799960,236.00,6.71,192.44
42.30008660,-83.69800230,236.00,7.45,193.68
42.30007940,-83.69800510,236.00,8.19,194.63
42.30007240,-83.69800870,236.00,8.00,197.30
42.30006550,-83.69801270,236.00,7.44,199.60
42.30005860,-83.69801680,236.00,6.47,201.35
42.30005170,-83.69802110,236.00,8.09,202.70
42.30004490,-83.69802550,236.00,9.55,203.84
42.30003870,-83.69803110,236.00,7.92,207.95
42.30003260,-83.69803700,236.00,9.03,211.09
42.30002660,-83.69804320,236.00,9.40,213.50
42.30002050,-83.69804950,236.00,8.00,215.34
42.30001460,-83.69805600,236.00,8.96,216.74
42.30000890,-83.69806290,236.00,9.32,218.80
42.30000330,-83.69806990,236.00,8.00,220.53
42.29999770,-83.69807710,236.00,8.00,221.85
42.29999220,-83.69808440,236.00,9.36,222.86
42.29998670,-83.69809170,236.00,8.42,223.63
42.29998190,-83.69809980,236.00,6.99,226.64
42.29997720,-83.69810810,236.00,7.76,229.21
42.29997270,-83.69811650,236.00,7.30,231.38
42.29996850,-83.69812530,236.00,7.15,233.77
42.29996440,-83.69813420,236.00,7.15,235.58
42.29996040,-83.69814330,236.00,7.29,236.96
42.29995640,-83.69815240,236.00,5.98,238.00
42.29995250,-83.69816150,236.00,7.36,238.80
42.29994850,-83.69817080,236.00,8.46,239.40
42.29994470,-83.69818000,236.00,7.36,239.85
42.29994080,-83.69818930,236.00,9.27,240.19
42.29993700,-83.69819870,236.00,8.90,240.62
42.29993400,-83.69820850,236.00,7.66,243.55
42.29993120,-83.69821840,236.00,8.19,245.76
42.29992840,-83.69822840,236.00,8.85,247.43
42.29992570,-83.69823860,236.00,8.00,248.70
42.29992310,-83.69824870,236.00,6.40,249.65
42.29992060,-83.69825900,236.00,5.44,250.48
42.29991850,-83.69826940,236.00,6.91,252.23
42.29991650,-83.69827980,236.00,6.98,253.56
42.29991450,-83.69829030,236.00,7.40,254.56
42.29991260,-83.69830090,236.00,9.17,255.31
42.29991080,-83.69831150,236.00,8.00,255.88
42.29990890,-83.69832210,236.00,6.80,256.31
42.29990730,-83.69833280,236.00,5.58,257.04
42.29990690,-83.69834350,236.00,7.25,261.22
42.29990670,-83.69835430,236.00,6.52,264.37
42.29990670,-83.69836520,236.00,5.87,266.75
42.29990680,-83.69837620,236.00,6.69,268.53
42.29990710,-83.69838720,236.00,7.90,269.87
42.29990770,-83.69839810,236.00,8.00,271.80
42.29990870,-83.69840910,236.00,7.44,273.85
42.29990970,-83.69842000,236.00,9.45,275.38
42.29991090,-83.69843100,236.00,8.00,276.53
42.29991340,-83.69844090,236.00,8.00,281.68
42.29991660,-83.69845070,236.00,6.56,286.51
42.29992030,-83.69846010,236.00,6.49,291.15
42.29992470,-83.69846880,236.00,6.30,296.69
42.29992950,-83.69847740,236.00,5.67,300.88
42.29993480,-83.69848490,236.00,6.29,306.20
42.29994080,-83.69849150,236.00,7.11,312.12
42.29994710,-83.69849790,236.00,8.04,316.59
42.29995380,-83.69850340,236.00,9.00,321.51
42.29996070,-83.69850860,236.00,8.64,325.27
42.29996770,-83.69851360,236.00,8.04,328.09
42.29997490,-83.69851820,236.00,8.92,330.85
42.29998220,-83.69852260,236.00,8.00,332.96
42.29998950,-83.69852680,236.00,8.24,334.56
42.29999690,-83.69853090,236.00,6.59,335.76
42.30000430,-83.69853500,236.00,7.65,336.66
42.30001170,-83.69853890,236.00,9.02,337.34
42.30001910,-83.69854290,236.00,7.85,337.85
42.30002650,-83.69854670,236.00,8.32,338.24
42.30003400,-83.69855000,236.00,7.82,339.87
42.30004160,-83.69855310,236.00,6.26,341.18
42.30004910,-83.69855610,236.00,5.88,342.17
42.30005670,-83.69855900,236.00,6.82,342.92
42.30006430,-83.69856190,236.00,8.73,343.48
42.30007190,-83.69856470,236.00,8.30,343.91
42.30007940,-83.69856750,236.00,7.22,344.23
42.30008700,-83.69857000,236.50,5.77,345.09
42.30009460,-83.69857220,236.50,5.83,346.23
42.30010230,-83.69857430,236.50,5.13,347.09
42.30010990,-83.69857640,236.50,4.67,347.75
42.30011750,-83.69857840,236.50,4.34,348.24
42.30012510,-83.69858030,237.00,5.13,348.62
42.30013270,-83.69858230,237.00,6.00,348.90
42.30014030,-83.69858420,237.00,6.72,349.12
42.30014790,-83.69858610,237.00,7.05,349.28
42.30015550,-83.69858780,237.00,8.67,349.77
42.30016310,-83.69858910,237.00,9.02,351.00
42.30017070,-83.69859030,237.00,8.00,351.93
42.30017830,-83.69859140,237.00,8.00,352.64
42.30018590,-83.69859250,237.00,9.36,353.18
42.30019350,-83.69859350,237.00,8.70,353.59
42.30020100,-83.69859450,237.00,8.00,353.90
42.30020860,-83.69859550,237.00,6.64,354.14
42.30021610,-83.69859650,237.00,7.04,354.32
42.30022370,-83.69859740,237.00,8.73,354.46
42.30023120,-83.69859830,237.00,9.60,354.57
42.30023870,-83.69859930,237.00,8.00,354.65
42.30024620,-83.69860020,237.00,6.56,354.71
42.30025370,-83.69860080,237.00,7.28,355.51
42.30026110,-83.69860100,237.00,7.79,356.68
42.30026860,-83.69860120,237.00,8.34,357.57
42.30027610,-83.69860140,237.00,8.00,358.25
42.30028350,-83.69860140,237.00,6.80,358.77
42.30029090,-83.69860150,237.00,8.64,359.17
42.30029840,-83.69860150,237.00,8.72,359.47
42.30030580,-83.69860150,237.00,9.33,359.71
42.30031320,-83.69860140,237.00,8.68,359.88
42.30032050,-83.69860140,237.00,9.03,0.02
42.30032790,-83.69860130,237.00,8.00,0.13
42.30033530,-83.69860130,237.00,6.72,0.21
42.30034260,-83.69860120,237.00,7.39,0.27
42.30034990,-83.69860120,237.00,8.43,0.32
42.30035720,-83.69860110,237.00,8.85,0.29
42.30036450,-83.69860110,237.00,9.64,0.27
42.30037180,-83.69860100,237.00,8.00,0.24
42.30037900,-83.69860100,237.00,8.57,0.23
42.30038630,-83.69860100,237.00,7.62,0.22
42.30039350,-83.69860090,237.00,7.01,0.21
42.30040070,-83.69860090,237.00,9.05,0.20
42.30040790,-83.69860090,237.00,8.14,0.19
42.30041510,-83.69860080,237.00,8.71,0.19
42.30042240,-83.69860080,237.00,6.97,0.19
42.30042960,-83.69860080,237.00,6.20,0.18
42.30043680,-83.69860070,237.00,6.02,0.18
42.30044410,-83.69860070,237.00,5.60,0.18
42.30045130,-83.69860070,237.00,5.88,0.18
42.30045860,-83.69860070,237.00,5.11,0.18
42.30046590,-83.69860060,237.00,5.11,0.18
42.30047320,-83.69860060,237.00,4.65,0.18
42.30048050,-83.69860060,237.00,4.56,0.17
42.30048790,-83.69860050
